zone_id,timestamp,actual_disruption,dominant_cause,action,risk_no_action,risk_proactive,risk_reduction
Z01,2025-07-30 14:00:00,0,rider_shortage,rebalance_riders,0.7513158917427063,0.0585402175784111,0.6927756741642952
Z05,2025-07-30 14:00:00,1,rider_shortage,alert_ops,0.3160591125488281,0.3160591125488281,0.0
Z06,2025-07-30 14:00:00,0,rider_shortage,rebalance_riders,0.827873945236206,0.18083372712135315,0.6470402181148529
Z08,2025-07-30 14:00:00,1,rider_shortage,alert_ops,0.46166056394577026,0.46166056394577026,0.0
Z01,2025-07-30 19:00:00,1,rider_shortage,rebalance_riders,0.9654080271720886,0.5899834036827087,0.3754246234893799
Z02,2025-07-30 19:00:00,0,traffic,reroute_traffic,0.7307046055793762,0.46467259526252747,0.26603201031684875
Z03,2025-07-30 19:00:00,1,rider_shortage,rebalance_riders,0.9800987243652344,0.8418124318122864,0.138286292552948
Z04,2025-07-30 19:00:00,1,rider_shortage,rebalance_riders,0.9718771576881409,0.7248675227165222,0.24700963497161865
Z05,2025-07-30 19:00:00,0,traffic,alert_ops,0.6563481092453003,0.6563481092453003,0.0
Z06,2025-07-30 19:00:00,0,rider_shortage,alert_ops,0.6754968762397766,0.6754968762397766,0.0
Z07,2025-07-30 19:00:00,0,traffic,alert_ops,0.6681670546531677,0.6681670546531677,0.0
Z08,2025-07-30 19:00:00,1,rider_shortage,rebalance_riders,0.9850345253944397,0.8931337594985962,0.0919007658958435
Z09,2025-07-30 19:00:00,1,rider_shortage,rebalance_riders,0.9831928014755249,0.7911067605018616,0.19208604097366333
Z10,2025-07-30 19:00:00,1,rider_shortage,rebalance_riders,0.8330757021903992,0.12030299007892609,0.7127727121114731
Z01,2025-07-30 20:00:00,1,rider_shortage,rebalance_riders,0.9807659387588501,0.7930303812026978,0.18773555755615234
Z02,2025-07-30 20:00:00,1,rider_shortage,rebalance_riders,0.9661336541175842,0.7136297225952148,0.2525039315223694
Z03,2025-07-30 20:00:00,1,rider_shortage,rebalance_riders,0.9714810848236084,0.8175445795059204,0.153936505317688
Z04,2025-07-30 20:00:00,0,rider_shortage,rebalance_riders,0.9429471492767334,0.5835219621658325,0.3594251871109009
Z05,2025-07-30 20:00:00,1,traffic,reroute_traffic,0.7528277635574341,0.48049473762512207,0.272333025932312
Z06,2025-07-30 20:00:00,1,traffic,reroute_traffic,0.8032935261726379,0.568899929523468,0.23439359664916992
Z07,2025-07-30 20:00:00,1,rider_shortage,rebalance_riders,0.9825749397277832,0.5126264095306396,0.46994853019714355
Z08,2025-07-30 20:00:00,0,rider_shortage,rebalance_riders,0.8635456562042236,0.2927086055278778,0.5708370506763458
Z09,2025-07-30 20:00:00,1,traffic,alert_ops,0.6531146168708801,0.6531146168708801,0.0
Z10,2025-07-30 20:00:00,1,rider_shortage,rebalance_riders,0.9938012957572937,0.9753992557525635,0.018402040004730225
Z01,2025-07-30 21:00:00,0,rider_shortage,rebalance_riders,0.8345292806625366,0.11492195725440979,0.7196073234081268
Z05,2025-07-30 21:00:00,1,rider_shortage,rebalance_riders,0.944252073764801,0.08498882502317429,0.8592632487416267
Z06,2025-07-30 21:00:00,1,rider_shortage,rebalance_riders,0.9839988350868225,0.6298215985298157,0.35417723655700684
Z07,2025-07-30 21:00:00,0,rider_shortage,alert_ops,0.38679152727127075,0.38679152727127075,0.0
Z08,2025-07-30 21:00:00,1,rider_shortage,alert_ops,0.4729088842868805,0.4729088842868805,0.0
Z10,2025-07-30 21:00:00,0,rider_shortage,rebalance_riders,0.782626211643219,0.12282084673643112,0.6598053649067879
Z02,2025-07-30 22:00:00,1,rider_shortage,rebalance_riders,0.8634916543960571,0.31222060322761536,0.5512710511684418
Z03,2025-07-30 22:00:00,0,rider_shortage,rebalance_riders,0.8723743557929993,0.4284152090549469,0.44395914673805237
Z05,2025-07-30 22:00:00,0,rider_shortage,alert_ops,0.4608632028102875,0.4608632028102875,0.0
Z06,2025-07-30 22:00:00,1,rider_shortage,alert_ops,0.5839354395866394,0.5839354395866394,0.0
Z07,2025-07-30 22:00:00,0,rider_shortage,alert_ops,0.48320272564888,0.48320272564888,0.0
Z08,2025-07-30 22:00:00,0,rider_shortage,alert_ops,0.3418067395687103,0.3418067395687103,0.0
Z09,2025-07-30 22:00:00,0,rider_shortage,alert_ops,0.6369699835777283,0.6369699835777283,0.0
Z07,2025-07-31 06:00:00,1,rider_shortage,alert_ops,0.4707541763782501,0.4707541763782501,0.0
Z01,2025-07-31 08:00:00,1,rider_shortage,rebalance_riders,0.8987250328063965,0.09380815923213959,0.8049168735742569
Z03,2025-07-31 08:00:00,0,traffic,alert_ops,0.5225862264633179,0.5225862264633179,0.0
Z04,2025-07-31 08:00:00,1,traffic,reroute_traffic,0.8488951921463013,0.7038670182228088,0.14502817392349243
Z05,2025-07-31 08:00:00,0,rider_shortage,rebalance_riders,0.8189677596092224,0.052468739449977875,0.7664990201592445
Z07,2025-07-31 08:00:00,0,traffic,alert_ops,0.6482031941413879,0.6482031941413879,0.0
Z08,2025-07-31 08:00:00,1,rider_shortage,alert_ops,0.6708215475082397,0.6708215475082397,0.0
Z01,2025-07-31 09:00:00,1,traffic,reroute_traffic,0.9343221783638,0.8183722496032715,0.11594992876052856
Z03,2025-07-31 09:00:00,0,traffic,reroute_traffic,0.7928626537322998,0.5757061839103699,0.21715646982192993
Z04,2025-07-31 09:00:00,0,traffic,reroute_traffic,0.7013111114501953,0.34126827120780945,0.36004284024238586
Z05,2025-07-31 09:00:00,0,traffic,alert_ops,0.3442040681838989,0.3442040681838989,0.0
Z06,2025-07-31 09:00:00,0,traffic,alert_ops,0.365045428276062,0.365045428276062,0.0
Z10,2025-07-31 09:00:00,1,traffic,reroute_traffic,0.8632883429527283,0.7133023738861084,0.14998596906661987
Z01,2025-07-31 10:00:00,0,traffic,alert_ops,0.3666706085205078,0.3666706085205078,0.0
Z02,2025-07-31 12:00:00,1,rider_shortage,rebalance_riders,0.828940212726593,0.2649451196193695,0.5639950931072235
Z05,2025-07-31 12:00:00,0,rider_shortage,rebalance_riders,0.7996428608894348,0.03109983541071415,0.7685430254787207
Z08,2025-07-31 12:00:00,0,rider_shortage,alert_ops,0.3917919099330902,0.3917919099330902,0.0
Z10,2025-07-31 12:00:00,0,rider_shortage,alert_ops,0.47982341051101685,0.47982341051101685,0.0
Z01,2025-07-31 13:00:00,0,rider_shortage,alert_ops,0.5864046216011047,0.5864046216011047,0.0
Z06,2025-07-31 13:00:00,0,rider_shortage,alert_ops,0.38977017998695374,0.38977017998695374,0.0
Z01,2025-07-31 14:00:00,1,rider_shortage,alert_ops,0.3287355899810791,0.3287355899810791,0.0
Z02,2025-07-31 14:00:00,0,rider_shortage,alert_ops,0.48228150606155396,0.48228150606155396,0.0
Z10,2025-07-31 14:00:00,0,rider_shortage,rebalance_riders,0.9162832498550415,0.17405261099338531,0.7422306388616562
Z01,2025-07-31 19:00:00,1,traffic,reroute_traffic,0.8348327279090881,0.614414393901825,0.22041833400726318
Z02,2025-07-31 19:00:00,0,traffic,alert_ops,0.6729714274406433,0.6729714274406433,0.0
Z03,2025-07-31 19:00:00,1,rider_shortage,rebalance_riders,0.9395892024040222,0.7221193313598633,0.21746987104415894
